24-12-2022 19:24 Пользователь Денис 1983067427 написал следующее: +
24-12-2022 19:30 Пользователь Денис 1983067427 написал следующее: -
24-12-2022 19:39 Пользователь Денис 1983067427 математическая операция: +
24-12-2022 19:41 Пользователь Денис 1983067427 операция: +
24-12-2022 20:13 Пользователь Денис 1983067427 операция: 45 56
24-12-2022 20:13 Пользователь Денис 1983067427 операция: +
24-12-2022 20:14 Пользователь Денис 1983067427 операция: **
24-12-2022 20:14 Пользователь Денис 1983067427 операция: ***
24-12-2022 20:16 Пользователь Денис 1983067427 операция: 3 4
24-12-2022 20:16 Пользователь Денис 1983067427 операция: +++
24-12-2022 20:30 Пользователь Денис 1983067427 операция: +
24-12-2022 20:30 Пользователь Денис 1983067427 операция: -
24-12-2022 20:30 Пользователь Денис 1983067427 операция: //
24-12-2022 20:30 Пользователь Денис 1983067427 операция: *
24-12-2022 20:31 Пользователь Денис 1983067427 операция: +++
24-12-2022 20:31 Пользователь Денис 1983067427 операция: —-
24-12-2022 20:31 Пользователь Денис 1983067427 операция: —-
24-12-2022 20:32 Пользователь Денис 1983067427 операция: —
24-12-2022 20:32 Пользователь Денис 1983067427 операция: —-
24-12-2022 20:32 Пользователь Денис 1983067427 операция: ---
25-12-2022 18:44 Пользователь Денис 1983067427 операция: +
25-12-2022 18:44 Пользователь Денис 1983067427 операция: //
30-12-2022 09:49 Пользователь Денис 1983067427 операция: ['3', '+', '3']
30-12-2022 09:51 Пользователь Денис 1983067427 операция: 3+3
30-12-2022 09:51 Пользователь Денис 1983067427 операция: 3 + 3
30-12-2022 10:00 Пользователь Денис 1983067427 операция: 3 + 3
30-12-2022 10:01 Пользователь Денис 1983067427 операция: 6 + 6
30-12-2022 10:02 Пользователь Денис 1983067427 операция: 7 + 7
30-12-2022 10:06 Пользователь Денис 1983067427 операция: 8 + 8
30-12-2022 10:10 Пользователь Денис 1983067427 операция: 9 + 9
30-12-2022 10:10 Пользователь Денис 1983067427 операция: 9 + 9
30-12-2022 10:12 Пользователь Денис 1983067427 операция: 9 + 9
30-12-2022 10:13 Пользователь Денис 1983067427 операция: 6 + 6
30-12-2022 10:14 Пользователь Денис 1983067427 операция: 6 + 6
30-12-2022 10:15 Пользователь Денис 1983067427 операция: 1 + 1
30-12-2022 10:16 Пользователь Денис 1983067427 операция: 1.5 + 2.6
30-12-2022 10:26 Пользователь Денис 1983067427 операция: 1 + 1
30-12-2022 10:29 Пользователь Денис 1983067427 операция: 1 + 1
30-12-2022 10:31 Пользователь Денис 1983067427 операция: 1 - 1
30-12-2022 10:32 Пользователь Денис 1983067427 операция: 1 + 1
30-12-2022 10:33 Пользователь Денис 1983067427 операция: 1 + 1
30-12-2022 10:35 Пользователь Денис 1983067427 операция: 1 + 1
30-12-2022 10:36 Пользователь Денис 1983067427 операция: 1 + 1
30-12-2022 10:39 Пользователь Денис 1983067427 операция: 5 + 5
30-12-2022 10:40 Пользователь Денис 1983067427 операция: 1 + 1
30-12-2022 10:40 Пользователь Денис 1983067427 операция: 2 - 1
30-12-2022 10:42 Пользователь Денис 1983067427 операция: 5 / 8
30-12-2022 10:46 Пользователь Денис 1983067427 операция: 1 + 1
30-12-2022 10:50 Пользователь Денис 1983067427 операция: 1 + 1
30-12-2022 10:50 Пользователь Денис 1983067427 операция: 1 + 1
30-12-2022 11:31 Пользователь Денис 1983067427 операция: 1 + 1
30-12-2022 11:32 Пользователь Денис 1983067427 операция: 1 + 1
30-12-2022 11:33 Пользователь Денис 1983067427 операция: 1 + 1
30-12-2022 11:33 Пользователь Денис 1983067427 операция: 1 + 1
30-12-2022 11:33 Пользователь Денис 1983067427 операция: 1 + 1
30-12-2022 11:33 Пользователь Денис 1983067427 операция: 1 - 1
30-12-2022 11:33 Пользователь Денис 1983067427 операция: 2 * 8
30-12-2022 11:33 Пользователь Денис 1983067427 операция: 2 / 8
30-12-2022 11:39 Пользователь Денис 1983067427 операция: 1 + 1
30-12-2022 11:41 Пользователь Денис 1983067427 операция: 1 / 0
30-12-2022 11:41 Пользователь Денис 1983067427 операция: 1 + 1
30-12-2022 11:44 Пользователь Денис 1983067427 операция: 5 ++ 5
30-12-2022 11:46 Пользователь Денис 1983067427 операция: 6 ++ 6
30-12-2022 11:46 Пользователь Денис 1983067427 операция: 6 — 6
30-12-2022 11:47 Пользователь Денис 1983067427 операция: 6 -- 6
30-12-2022 11:47 Пользователь Денис 1983067427 операция: 6 -- 5
30-12-2022 11:47 Пользователь Денис 1983067427 операция: 5 // 5
30-12-2022 11:47 Пользователь Денис 1983067427 операция: 5 ** 5
30-12-2022 11:52 Пользователь Денис 1983067427 операция: 5 —2
30-12-2022 11:52 Пользователь Денис 1983067427 операция: 5 — 2
30-12-2022 11:55 Пользователь Денис 1983067427 операция: 5 — 2
30-12-2022 11:55 Пользователь Денис 1983067427 операция: 5 -- 2
30-12-2022 12:10 Пользователь Денис 1983067427 операция: 5 + 5
30-12-2022 12:11 Пользователь Денис 1983067427 операция: 1 + 1
